"","y","Month","Year","pasta_twitter_lag18","tomato_twitter_lag10","bbq_google10","chili_google15","ketchup_google16","pasta_google15","salsa_google12","spaghetti_google14","tomato_google12"
"1",714286,"1","2010",-0.087194351199099,0.26131541027562,-0.881489171742796,-0.751759466996017,0.417577719777075,0.114121853646628,-0.576320487129711,-0.213515369357941,-0.371464040566686
"2",291432,"2","2010",0,-0.493394748937337,-0.808132505415778,-0.806421961200282,0.417577719777075,0.328247393478445,-0.576320487129711,-0.281571056263624,-0.371464040566686
"3",419610,"3","2010",0.514621300759195,0.63690844224385,-0.539158062216711,-0.861084455404547,0.294800425755383,0.381778778436399,-0.934919901343753,-0.349626743169308,-0.201740721613204
"4",381127,"4","2010",0.0971149967953271,-0.209684483997876,-0.367992507453669,-0.533109490178958,0.356189072766229,0.702967088184125,-0.576320487129711,-0.349626743169308,0.25085479559608
"5",337846,"5","2010",-0.168118924463062,-1.14936204050196,-0.29463584112665,0.0681779460679567,0.908686895863846,0.435310163394353,0.140878341298374,-0.0774039955465739,0.703450312805365
"6",440028,"6","2010",0.22421197753939,-0.266352039812367,-0.00120917581857735,0.942777853336196,0.663132307820461,0.221184623562536,0.409827901958905,0.19481875207616,0.986322511061168
"7",907212,"7","2010",-1.24890670946439,3.89946126989258,0.879070820105642,1.54406528958311,0.356189072766229,0.114121853646628,1.2166765839405,0.262874438981843,1.60864134722393
"8",936131,"8","2010",-0.465755463555612,0.410592623014687,1.0991408190867,0.942777853336196,-0.0735314563096954,-0.046472301227235,1.93387541236859,0.39898581279321,1.77836466617742
"9",1139006,"9","2010",-1.0513628219282,2.50640617807885,1.02578415275968,1.05210284174473,0.356189072766229,0.00705908373071922,1.12702673038699,0.19481875207616,0.816599192107686
"10",422506,"10","2010",-0.527420983903443,0,0.341121933707508,1.98136524321723,-0.0121428092988491,0.435310163394353,-0.128071219362158,-0.0774039955465739,0.137705916293759
"11",541690,"11","2010",0.0549563756789796,-0.266352039812367,0.121051934726453,0.888115359131931,0.785909601842153,0.274716008520491,-1.02456975489726,0.39898581279321,-0.428038480217847
"12",389148,"12","2010",-0.230960236319937,0,-0.29463584112665,-0.369122007566163,0.17202313173369,0.114121853646628,-1.11421960845077,0.19481875207616,-0.597761799171329
"13",467969,"1","2011",0.771154257887949,0.134206932274647,-0.416896951671681,-0.369122007566163,0.663132307820461,0.221184623562536,-0.39702078002269,-0.0774039955465739,-0.145166281962044
"14",323488,"2","2011",0,0,-0.319088063235656,-0.205134524953368,0.294800425755383,0.328247393478445,-0.39702078002269,-0.145459682452257,-0.371464040566686
"15",285817,"3","2011",-0.223459514605647,0,-0.29463584112665,-0.697096972791753,0.417577719777075,0.542372933310262,-0.845270047790243,-0.213515369357941,-0.145166281962044
"16",259135,"4","2011",0.534587874079024,-1.2071834698986,-0.245731396908638,-0.806421961200282,0.601743660809614,0.702967088184125,-0.39702078002269,-0.00934830864089043,0.25085479559608
"17",370516,"5","2011",-0.196360271107206,0,-0.0501136200365895,-0.478446995974693,0.724520954831307,0.542372933310262,0.230528194851884,0.19481875207616,0.873173631758847
"18",805623,"6","2011",0.440301865156327,2.56159430312195,0.121051934726453,0.669465382314871,0.478966366787921,0.381778778436399,0.589127609065927,0.739264247321627,1.32576914896813
"19",904196,"7","2011",-0.503726436282693,-0.266352039812367,0.805714153778623,1.76271526640017,-0.196308750331388,0.0605904686886735,1.93387541236859,0.671208560415944,1.89151354547974
"20",963048,"8","2011",0.301779470909143,-0.266352039812367,1.07468859697769,0.778790370723401,-0.0735314563096954,-0.100003686185189,1.93387541236859,0.807319934227311,1.77836466617742
"21",853255,"9","2011",-0.618217181306772,0,1.00133193065067,0.724127876519136,0.601743660809614,0.114121853646628,1.48562614460103,0.262874438981843,1.09947139036349
"22",509309,"10","2011",-0.4956881670409,0,0.316669711598502,1.48940279537885,0.540355013798768,0.435310163394353,-0.4866706335762,0.126763065170476,0.0245570369914378
"23",461997,"11","2011",-0.55145963248838,0,0.194408601053471,0.833452864927666,0.417577719777075,0.488841548352308,-1.11421960845077,0.671208560415944,-0.597761799171329
"24",384881,"12","2011",0.0544112399745856,-0.266352039812367,-0.367992507453669,-0.150472030749103,0.540355013798768,0.381778778436399,-0.845270047790243,0.467041499698894,-0.597761799171329
"25",363144,"1","2012",-0.305073886110861,0,-0.465801395889693,-0.587771984383223,0.356189072766229,0.328247393478445,-0.39702078002269,0.467041499698894,-0.145166281962044
"26",353382,"2","2012",0,0,-0.270183619017644,-0.806421961200282,0.724520954831307,0.488841548352308,-0.4866706335762,0.19481875207616,-0.258315161264365
"27",359269,"3","2012",0.361636740089836,-0.266352039812367,-0.221279174799632,-0.915746949608812,0.478966366787921,0.702967088184125,-0.665970340683222,0.058707378264793,-0.0320174026597227
