"","arima"
"30",251850.488026476
"31",696147.628945509
"32",685328.201335321
"33",440135.968311952
"34",45394.5676451809
"42",213852.797771198
"43",717942.91649701
"44",585887.436561963
"45",367612.444751627
"46",40743.8547853948
"54",147306.766082968
"55",605597.135947437
"56",606726.094118849
"57",280024.335767466
"58",25593.1686599123
