"","bbq_twitter_lag17","pasta_twitter_lag18","tomato_twitter_lag15","bbq_google10","chili_google15","salsa_google12","tomato_google12","Date"
"45",0.176906897402941,-0.432722112135793,-0.15686592077525,-0.97929806017882,-0.861084455404547,0.678777462619437,0.0811314766425984,2008-07-01
"46",-0.491369719755825,-0.127215829086754,0.207248860834714,-1.22382028126888,-0.970409443813077,1.66492585170805,0.25085479559608,2008-08-01
"47",-0.214561335738925,-0.200564426181031,-0.266352039812367,-1.27272472548689,-1.07973443222161,0.589127609065927,-0.314889600915526,2008-09-01
"48",-0.256990034848765,-0.667608658713893,-0.152415265529839,-1.24827250337789,-0.806421961200282,-0.845270047790243,-1.16350619568293,2008-10-01
"49",-0.442656768048619,-0.263824534957634,-0.220573871573851,-1.2971769475959,-0.970409443813077,-1.20386946200429,-1.38980395428758,2008-11-01
"50",0.49471045029372,-0.359528730496577,0.392344936508501,-1.15046361494186,-0.533109490178958,-1.20386946200429,-1.33322951463642,2008-12-01
"51",-0.562187531766463,-0.0679908886161703,-0.266352039812367,-1.12601139283286,-0.0411470423405732,-0.845270047790243,-1.10693175603177,2009-01-01
"52",0.0049228625284605,-0.6134489223929,-0.747022806316783,-0.832584727524784,-0.150472030749103,-1.02456975489726,-1.10693175603177,2009-02-01
"53",0.0505307965994212,-0.107156632963095,-0.133129092799723,-0.367992507453669,-0.259797019157633,-1.20386946200429,-0.71091067847365,2009-03-01
"54",-0.0941493548313389,-0.00891330332622037,1.12822733558482,-0.221279174799632,0.286827922885016,-0.4866706335762,-0.371464040566686,2009-04-01
"55",-0.349424341605611,-0.148282978498996,-0.283824982627685,-0.441349173780687,-0.314459513361898,-0.307370926469179,0.0245570369914378,2009-05-01
"56",0.363098648306109,-0.447052829041062,0.315132964677132,-0.685871394870748,-0.970409443813077,0.140878341298374,2.17438574373554,2009-06-01
"57",-0.95629511172047,-0.200379955501093,-0.33400380247009,-1.02820250439683,-0.970409443813077,0.409827901958905,0.420578114549562,2009-07-01
"58",-0.589721662981037,-0.0725927383833239,0.686978313754727,-1.27272472548689,-1.07973443222161,1.57527599815454,0.703450312805365,2009-08-01
"59",-0.337223189544586,-0.10967098856359,1.10836635239027,-1.24827250337789,-1.29838440903867,0.858077169726458,-0.0320174026597227,2009-09-01
"60",0.803600313476942,-0.320559289235502,0.412615254030436,-1.27272472548689,-1.29838440903867,-0.4866706335762,-0.76748511812481,2009-10-01
"61",0.938721873176174,0.996669181486764,0.430966733693681,-1.22382028126888,-1.18905942063014,-0.845270047790243,-1.16350619568293,2009-11-01
"62",1.56786134554772,-0.0844399507810693,0.716758714687741,-1.22382028126888,-0.642434478587488,-0.934919901343753,-1.22008063533409,2009-12-01
"63",0.102859401266152,0.567047306024917,1.42356175687029,-1.05265472650584,0.0681779460679567,-0.307370926469179,-0.76748511812481,2010-01-01
