"","pasta_twitter_lag18","tomato_twitter_lag10","bbq_google10","chili_google15","ketchup_google16","pasta_google15","salsa_google12","spaghetti_google14","tomato_google12","Date"
"45",-0.432722112135793,0.392344936508501,-0.97929806017882,-0.861084455404547,-1.48547033755916,-1.22416277030223,0.678777462619437,-1.23435067294319,0.0811314766425984,2008-07-01
"46",-0.127215829086754,-0.266352039812367,-1.22382028126888,-0.970409443813077,-1.23991574951578,-1.06356861542837,1.66492585170805,-1.09823929913183,0.25085479559608,2008-08-01
"47",-0.200564426181031,-0.747022806316783,-1.27272472548689,-1.07973443222161,-0.932972514461544,-1.01003723047041,0.589127609065927,-1.09823929913183,-0.314889600915526,2008-09-01
"48",-0.667608658713893,-0.133129092799723,-1.24827250337789,-0.806421961200282,-0.99436116147239,-0.795911690638595,-0.845270047790243,-0.962127925320459,-1.16350619568293,2008-10-01
"49",-0.263824534957634,1.12822733558482,-1.2971769475959,-0.970409443813077,-0.687417926418159,-0.902974460554503,-1.20386946200429,-0.894072238414775,-1.38980395428758,2008-11-01
"50",-0.359528730496577,-0.283824982627685,-1.15046361494186,-0.533109490178958,-0.871583867450698,-0.956505845512458,-1.20386946200429,-0.826016551509092,-1.33322951463642,2008-12-01
"51",-0.0679908886161703,0.315132964677132,-1.12601139283286,-0.0411470423405732,-0.564640632396466,-1.06356861542837,-0.845270047790243,-0.757960864603408,-1.10693175603177,2009-01-01
"52",-0.6134489223929,-0.33400380247009,-0.832584727524784,-0.150472030749103,-0.687417926418159,-1.17063138534427,-1.02456975489726,-0.894072238414775,-1.10693175603177,2009-02-01
"53",-0.107156632963095,0.686978313754727,-0.367992507453669,-0.259797019157633,-0.810195220439851,-0.956505845512458,-1.20386946200429,-0.962127925320459,-0.71091067847365,2009-03-01
"54",-0.00891330332622037,1.10836635239027,-0.221279174799632,0.286827922885016,-0.99436116147239,-0.902974460554503,-0.4866706335762,-0.962127925320459,-0.371464040566686,2009-04-01
"55",-0.148282978498996,0.412615254030436,-0.441349173780687,-0.314459513361898,-1.05574980848324,-0.849443075596549,-0.307370926469179,-1.09823929913183,0.0245570369914378,2009-05-01
"56",-0.447052829041062,0.430966733693681,-0.685871394870748,-0.970409443813077,-1.23991574951578,-0.902974460554503,0.140878341298374,-1.03018361222614,2.17438574373554,2009-06-01
